Place,Reviews,Sentiment
gardens-by-the-bay,literally everyone is must visit hot spot when in singapore gardens by the bay is a giant park behind marina bay sands with no admission fee i went around pm and waited until  pm to watch the light show garden rhapsody soooo beautiful it plays daily at  pm and  pm there are usually a lot of people chilling and laying on the ground to watch but i found a really good viewing spot with what i personally think has a greater view of the park this entire park is very picturesque and i did not mind walking around for a couple hours to take in its beauty towards the back of the park there is an indoor food market with lots of yummy food,Positive
gardens-by-the-bay,if you visit singapore i highly recommend coming here daytime to walk the huge garden night time to see the beautiful lights they also have attractions i chose to purchase the attraction bundle which included floral fantasy flower dome cloud forest and shuttle service to the last two the shuttle service is worth it especially after having walked the grounds of the entire garden in the  degree plus weather and enduring the high humidity the attractions are indoors in wonderfully temperature controlled man made environments there is a short little d film at the end of floral fantasy it is all beautiful for those of us who like to view different flora and fauna all in one place it is fun for the entire family each attraction exits you right into a great gift shop there is also a couple cafes located on the premises the one located right inside the flower dome looked like fun too bad i had just eaten the mrt drops you right off at the ticket booth discount for senior citizens  years and over,Positive
gardens-by-the-bay,the first thing to know about gardens by the bay is that it is one massive tourist attraction it has highly constructed facilities that you can pay to go into plus it has large gardens ponds and even a few aquariums around the property that are offered free of charge for many they find this location a great place to spend time with the family it is also a good place to get in a little exercise and walk and or run around personally for those of us who know what this area of singapore used to be like meaning those of us who are a little bit older we may remember what this area was once upon a time for me that was a much more ascetically pleasing period of time this is not to say that gardens by the bay is not a great place but i am just saying that it lacks any true singaporean culture so go here if you want to interact with a lot of tourists and see some marginally interesting tourist attractions but if you want to see what singapore is truly all about you may have to go to other locations,Positive
gardens-by-the-bay,i remember i was scrolling through a friends feed and there was a picture of him posed in front of the gardens by the bay in the background i was fascinated by the trees behind him in that picture which made me research more of singapore thus i thank my friend for planting the seed to visit singapore   years ago thanks jose in my opinion the gardens by the bay is synonymous to singapore as the same can be said about with the marina bay sands hotel they just go hand and hand together like dark chocolate dusted with sea salt together the gardens by the bay is a large park which is free to enter there is no admission to walk around the park i saw a lot of locals jogging around the park at night i cannot imagine doing that during the day that said the attractions which include the two domes the cloud forrest and flower dome and ocbc skyway are paid admission fees i encourage you to pay to see all three i only had the opportunity to see the two domes and missed the chance to go to the skyway but i was very particular as too when i wanted to go on the skyway since the paid admission is for only one usage the domes on the other hand allow you to get a re entry stamp when you exit which is valid for the entire day both the cloud forrest and the flower dome have their charm head to the flower dome if you want to immerse yourself in a bouquet of flowers from all over the world if you want to feel as if you are in a different planet go to the cloud forrest the cloud forrest also boasts having one of the largest indoor waterfalls it is a spectacular sight to witness with your own eyes explore both domes and learn about sustainability which is prevalent in the structure and urban planning of this beautify country i would encourage you to see the park both during the day and at night as the park truly gives off a different energy during both times in the evening there is a light show with the skytreees in the skytree grove that is mesmerizing note i would plan accordingly if you do go to the gardens at night last admission time for the ocbc skyway is pm also note that if there is a sign stating that there will be street food it is concession type food,Positive
gardens-by-the-bay,the super trees are just something straight out of the future there are art installations around the park including a slightly confusing giant naked baby lots to see and do for free even a trip to the top of the trees was worth the extra expense i accidentally ordered a  drink imported from japan while tasty was not worth the cost and my companions drinks were not fantastic but the view was amazing we came back at night and watched the light show which was relaxing and beautiful if you get there early i suggest laying down under a tree and watching it that way to save your neck if you time it correctly you can see the light show at the sands and walk over to the super trees and watch their light show or vice versa definitely would tell anyone who visits singapore to come here,Negative
gardens-by-the-bay,this is one of the coolest attractions in singapore we were fortunate enough to have a room at the marina bay sands hotel which overlooked these memorizing trees i felt like we could not stop looking at them they are very easy to access from the hotel you walk away from them and head around the corner you take the elevator up to the th floor its the only floor you can go to and walk back into the hotel you will take the bridge across to the park the gardens are actually a large park that is free to enter we went at night and then went for a run the next morning to see them again i would encourage you to see the park both during the day and at night as the park truly gives off different views these trees were one of my favorite things in all of singapore,Positive
gardens-by-the-bay,it is just simply beautiful i saw crazy rich asians and since have been dying to check out this place and i am so glad i did it is one of the highlights in singapore it is a group of different attractions next to each other including cloud forest flower dome and the outside super tree grove it is an artificial man made area that is constructed to support different vegetations and flowers when we went it was tulip festival so lots and lots of tulips in the flower dome that were beautiful made for some great picture opportunities outside the gardens are the super trees that are just genius creations did not get a chance to walk around the trees on the skywalk due to our short visit but will definitely have to do that next time at night time they have a light and sound show where the trees are all lit up in different colors and it is just magical include this in your bucket list if not there already,Positive
gardens-by-the-bay,this experience was so worth it i bought tickets to both garden experiences and seeing all the plants from so many different terrains as well as the indoor waterfall were breathtaking stop by at night to see the light show,Positive
gardens-by-the-bay,singapore has come a long way in the past decade or so going all out with attractions open spaces to make it a very tourist friendly destination the outdoor parts of gardens by the bay are free to visit including the wonderful light music show at night there are plenty of dining options on premises you do not need to walk too far for restrooms i recommend visiting the gardens by the bay on your first night in singapore as it gives you a glimpse of the magic of that singapore has to offer to its tourists if you are in the mood for a nd light show on the same night the sands marina bay is within walking distance,Positive
gardens-by-the-bay,wonderfully and different nature place in the concrete jungle of singapore with nearby skyscrapers quiet and into nature well worth a visit be prepared to walk,Positive
gardens-by-the-bay,christmas is by far one of my favorite times of year to come visit family in singapore partly because of the decorations at the gardens christmas wonderland is probably singapore is biggest christmas fair with luminaire light sculptures games rides market santa is area and numerous other entertainment options there is also a human made blizzard massive christmas tree ice skating rink light show and let is not forget the food christmas carols add to the christmas cheer gardens christmas wonderland is the best place to celebrate christmas in singapore i would go at night as it adds to the already fantastic lights they have there you do have to buy tickets add it is not include in the regular garden entrance fee they are about  online more at the gate some sights give you a deal with flower dome cloud forest super tree grove ocbc skyway and christmas wonderland so look for that my cousin gets them for me so not sure what online service he uses there are several times the blizzard happens so check the times so you do not miss out lastly check the times for each area because they are different and some things close earlier than others,Positive
gardens-by-the-bay,nightly laser show is free i came here after dinner nearby to enjoy the nightly laser show when i visited they had two shows at night  pm and  pm each show lasts about  minutes many people arrives early to secure places to sit no chairs or anything they bring picnic blanket to sit on the concrete floor i did not have anything with me so i just sat directly on the concrete floor but my clothes did not seem to get that dirty toilet facilities were nearby and inside was very clean laser show itself was okay i got bored after  minutes they continued to play different songs but laser show was the repeat of the same thing song choice was interesting i think i went on a special night where they played  is and  is some  is songs from the u s lot of them reminded me the fun time i had while in college laser show was beautifully done i have seen it once and not sure if i need to see it again,Negative
gardens-by-the-bay,free free others areas you pay but mostly free the only thing i did not like is you cannot walk there from the flyer big spinning wheel which has a lot of food options this place however has fast food only quick snacks which is why you should come here after the wheel so you can eat up the big trees are massive and beautiful from every angle just sit there with ice cream and enjoy it at night you can walk above them but that cost a ticket and time in line singapore is not as hot as other places in asia so it is comfortable to walk around in one of the main attentions next to the lion hotel and wheel,Positive
gardens-by-the-bay,this has to be on your singapore bucket list went here for a walk after dinner at marina bay sands great views of mbs and the gardens are beautiful in the evening yes definitely most described as avatarish like scenery and atmosphere you have to enjoy this place on your own take lots of pictures and selfies go for a walk and relax it is much cooler during the evening,Positive
gardens-by-the-bay,this place is amazing it is so beautiful it is a must if your ever in town come by later in the evening check it out around sunset it is an unforgettable experience,Positive
gardens-by-the-bay,we went on our last day in singapore and i am so glad we did everything about gardens by the bay is impressive from their impeccable floors restrooms to their nice people always willing to help the amount and variety of flowers we saw were outstanding and the gorgeous landscape design was on point nothing but the best to match the magnitude of the important marina bay sands hotel where this garden is located the only thing i did not like was the temperature inside the flower domes because it was so cold i was practically freezing but i understand that they do this to maintain the flowers and other plants,Positive
gardens-by-the-bay,when in singapore this is a must we followed a crowd at night from marina bay sands they were headed to the supergrove trees everyone was picking a spot to sit on the street and were looking up as they were waiting for something we decided to do the same i believe it was around pm and a music light show started this was the best music light show i have ever seen just beautiful i got teary eyed it was so amazing they played american music from west side story to phantom of the opera the lights danced with the music gardens of the bay is a must visit,Positive
gardens-by-the-bay,if you can only visit one attraction when you come to singapore this is it there is just nothing like this anywhere else while you are walking around there are a lot of places to stop to grab a bite or drink should you feel the need there are a few spots here that charge admission but it is well worth it the indoor waterfall was just beautiful inside the dome there is even a light show which you have to see this is a place i need to come back to at least once more in my life,Positive
gardens-by-the-bay,it is beautiful garden at the reclaim land it has the beautiful setting for the garden this garden recycling energy and power the facility it collected the fallen leaves and burn it for energy we were here for the super trees these trees are man made they have the beautiful architecture look tree one to tree five has a walking bring across you can see the waterfall inside at night time the light out the threes with synchronized light and music it is beautiful to laid down on the floor to watch the show you can reach ther by mrt and across it with the dragon fly bridge it is great to see the super trees far away the garden have  sections some with pay entrantand some are free do you can pick what need to be cover the area is big to cover it also has  attraction many to visit,Positive
gardens-by-the-bay,a must visit place in singapore with about  hours layover in singapore we decided to leave the airport and made gardens by the bay our very first stop do not waste your time and try to save a little bit of money by taking the train download grab app it is the equivalent of uber here in singapore from the airport to the garden it was around  for us and only took about mins train would be over an hour it is free admission to gardens by the bay however the flower dome and cloud forest which located inside gardens by the bay hence the plural in gardens do require admission fees i highly recommend checking out those  as well especially if it is your first time in singapore they are well worth it there are bicycles for rent requires an app if you want to bike around the park or just venture on foot we saw plenty of runners and bikers around the perimeter of the garden since it was still early in the morning before am if you have watched crazy rich asians movie the last scene where the wedding happened was here at gardens by the bay and it is free you can also pay to go up to those huge supertree groves which connected by a view deck we spent a good   hours here with more than half of those in the flower dome and cloud forest and still did not get the chance to see everything definitely a place that we would love to come back to especially at night when the supertree grove is lit up,Positive
gardens-by-the-bay,it was the wedding party of the year in crazy rich asians gardens by the bay is supertree grove is over the top built in  on  acres of reclaimed land gardens by the bay has more than   million plants an indoor glass greenhouse complete with a waterfall and grove of  foot tall super trees that look like they would be more at home in james cameron is avatar but these trees also serve an environmental purpose they recycle rainwater and generate enough energy to sustain the adjoining conservatories how cool is that i visited the gardens during the day but many people suggest coming here at night to watch one of the free light shows the ocbc garden rhapsody happens each night from   to   pm the  minute show culminates in a grand finale where the trees sparkle with light the gardens by the bay conservatories are open from  am to  pm daily with the last admission at  pm the price is  singapore dollars or around  us dollars the outdoor gardens are open until  am and are free,Positive
gardens-by-the-bay,must evening visitthis  acre swamp was reclaimed and made into a selfsustaining ecological park with a beautiful artificial tree grove decorated with sparkling lights and broadcasting festive seasonal music during the evenings the mammoth steel trees are connected by sky walks for the adventurous and daring close by and within the gardens premises is the flower dome featuring exotic plants and cloud forest as a modern botanical greenhouse the marina bay sands and singapore flyer are the featured towering structures just south of the gardens is the cruise terminal nearest mrt station is bayfront for cc or dt lines,Positive
gardens-by-the-bay,my wife and i had a long layover in singapore we decided to visit the gardens by the bay as you walk into the garden you are welcomed by the beautiful waterfall that is the first photo opportunity of this beautiful location the garden is very well thought out easy to walk through and is setup to make sure you do not miss any of the displays we were lucky enough to go on a decent temperature day so it was perfect to walk around and enjoy the exhibit highly recommend to anyone visiting singapore,Positive
gardens-by-the-bay,beautiful a must see attraction if you are there i would recommend to come after it is dark because the entire garden gets lit up the view is just something else you have two options you can view it from the outside or you can walk on the skywalk it is so worth it to come here also at night they have a light show too and i highly recommend staying for it,Positive
gardens-by-the-bay,wow probably the most amazing thing in singapore come during the day and do the cloud forest and flower dome walk the park skip the indochine restaurant and rooftop bar do the skybridge instead either night or day are both awesome they have a light show at night if you want to catch the show come on a weekday as it will be crowded if you just want to see the lights come after the show as it will be empty and you can take plenty of photos without the crowds,Positive
gardens-by-the-bay,expect to spend at the very least half a day at this site really to get enough hours you should schedule a full day this place is extremely unique with a blend of modern technology and style with traditional botanical elements the flower dome is full of flowers from all over the world while the cloud dome spoiler literally has a waterfall coming from the top of a mountain full of vegetation and a winding path end both domes have indoor cooling and humidity to match the needs of the plants they also had themes inside the flower dome when i visited since it was nearing christmas after these two domes you can choose to walk around the gardens and especially to the super trees these structures are full of plants inside and light up in the evening for a fee you can also walk on the paths between the trees in the tree canopy from here you can get beautiful views of the marina sands bay hotel also you can book tickets online or wait in line to purchase entrance tickets there was not a long wait but it could get long as there is only a handful of ticket windows on the day we went there were brief showers and it was very humid wear waterproof shoes or shoes you do not mind getting a little wet,Positive
gardens-by-the-bay,we came both during the day and for the   pm show at night you see two different parks the colors structures and plants look different but i have to say my favorite was during the night time and the lights music show it starts right on the sport at   and it lasts  min you can sit anywhere in the park and you will enjoy it just as much all the super trees are part of the show and the best part it is that is for free,Positive
gardens-by-the-bay,this place is magical great customer service we bought tickets for cloud forest and the flower dome the sky walk was closed the line was moving quickly and took me about ten minutes meanwhile my  year old got busy with the craft there are dedicated staff members who were engaging kids to make paper flowers they were making roses we did flower dome first there are millions of flowers and most of the aisles from different countries have amazing natural fragrances this place is one of its kind cloud forest was exceptional too i could not go up to feel the clouds or on the walk way as my kids were super sleep but whatever i could experience and specially the varieties of orchids and it is fragrance was unique and one memorable experience there is kids area as well due to thunder storm and rains the games were not fully open the part of super tree grove area was nicely decorated for promotion of kids movie my daughter enjoyed whatever she could experience  stars for building this place and for top notch customer experience,Positive
gardens-by-the-bay,if you visit singapore even for a day and skip the gardens by the bay you are doing it wrong it is a very unique experience in the tropical climate it is a must go place whether you are a local or visitor they constantly bring in seasonal flowers and plants from all over the world you get to enjoy all this at the comfort of cool temperature and humidity must visit this place to get the info how trees plants are helping us to live in this world gardens by the bay singapore is one of the most famous place in the world it is amazing you will feel something different which is directly connected with mother nature i love this place and specially the show they put up every evening around  pm strongly recommend buying a ticket to get up to the super trees sky deck during the show and watch them up close everything is so well maintained walking by the road along the river you can come to marina bay mall where is nice artificial reservoir outside with water lilies you can also see the singapore eye on the other side the art and creativity was fantastic it was one of my memorable travels visiting this place at singapore,Positive
gardens-by-the-bay,great attraction for any person to visit i purchased the flower dome cloud forest admission and thought it was well worth it it took me about   hours to go through both the maintenance and care the facility has for the plants is amazing also i suggest you go the the skywalk it is a pretty view of the city and the super trees i spent  for admission and  for the skywalk and i thought it was worth it i highly recommend anyone to go who is never gone also since it is near the marina bay sands i would just walk there after it is only a  mins walk and you can walk around in there and go on either the sky park get a drink or just go to the casino,Positive
gardens-by-the-bay,wow wow wow this might have been the nicest garden i have ever been to in my life i recommend going here if you are in singapore i am super sad i did not have much time here i did however get to ride on their golf cart for the  minute tour around the garden i would recommend that if you are on a time limit or would like to have a baseline and familiarize yourself to the garden being in singapore made me rethink a lot of things about life in the usa i always had a mindset that america was very advanced compared to other countries singapore helped me realize that there is always room for improvement the giant super trees in the garden helped me realize this the trees function the same ways as natural trees do however with even more benefits but just multiplied it is amazing how much effort is put into making the environment and quality of life that much better in singapore being at the garden helped me appreciate nature more there are different gardens known as the heritage gardens that are dedicated to all the countries that helped influence singapore is culture there are even beautiful sculptures located throughout the park i would say this is a must see to visit and someone could easily spend half a day maybe even a full day here i was not able to but i was told that there is a beautiful light show that happens during the night time i would absolutely come back here,Positive
gardens-by-the-bay,gardens by the bay is beautiful and so clean no matter where you walk there is nature surrounding you take a walk amongst the supergrove trees or walk on solid ground and explore the amazing statues do try the supertree by indochine bar to get the best  views another must do is the cloud forest it is truly breathtaking the flower dome is best during the day as night is very dark inside go by the cafe to smell the amazing herbs that are growing,Positive
gardens-by-the-bay,the place is amazing and awesome the beauty of singapore we love it so much highly recommended for everyone visiting singapore super elegant design both interior and exterior especially during the night,Positive
gardens-by-the-bay,get tickets online for both domes cloud forest and flower dome and skip the lines i was able to go right in super convenient loved the cloud forest so much i went twice definitely go earlier so that you basically have the whole place to yourself and get some great photos but also marvel at the majestic waterfalls it is super calming to watch the water fall from the very top to the bottom used to be the tallest manmade waterfall before it got bested by the jewel and wander through all the interesting types of plants growing everywhere do not forgot to take an awesome photo from the top also get a re entry stamp when exiting in case you want to visit again,Positive
gardens-by-the-bay,i was very excited to come to the gardens by the bay i think the supertrees have reached almost an iconic stature and people easily recognize what and where they are i was surprised by the sheer size of the park itself yes there is the supertree grove and the cloud forest but keep walking toward the water and there are ponds and grass areas satay by the bay delicious and the marina barrage which i think was my most favorite part i saw many people hanging out and working out and i think that if i lived here i might spend some time in these gardens as well the upkeep was impeccable i saw some work being done while i walked through and it was nice to see how well maintained the entire place is i would definitely recommend coming here when you visit singapore,Positive
gardens-by-the-bay,yes this place is as great as everyone says it is i was able to catch the light show and was pleasantly surprised that classical music is played while the super grove trees lit up to the beat,Positive
gardens-by-the-bay,one of my favorite attractions in singapore walking the gardens is free however if you want to go into the domes you have to pay a fee the cloud forest dome was truly amazing and worth the money i enjoyed learning about how singapore has worked on sustainable water projects and making ecological changes for the country the simulated cloud forest was truly beautiful with mists the walk is quite steep and strenuous if you are not used to walking uphill i believe there was an elevator to the different levels but you do not quite get the full experience as when you hike up the incline the other dome has a desert garden and plants from around the world they have a large baobab tree that i have seen when i was working in zimbabwe they also have a lot of desert cacti from arizona where i live now pretty cool and surreal to see plants in my neighborhood in my heritage country definitely add gardens at the bay to your visit check out the night laser show,Positive
gardens-by-the-bay,must see gorgeous but yet completely different from any botanic experience you have ever seen go inside the cloud forest for unique sculptures amongst rainforest inside a cosmopolitan metropolis not to mention a cool respite from constant humidity go during the week if possible to avoid the masses,Negative
gardens-by-the-bay,this area is huge we came here in august and it was so hot outside so we spent most of our time in flower dome and cloud forest both are unique and provide ample photo opportunities we planned a very packed day and was not able to get to this place until the sun started to set the sky outside got dark but the insides were dimly lit so we were able to enjoy everything even though it was getting late seems like they change the displays often so i would definitely to go back if given the opportunity things i would have done differently  set aside at least  hours to see everything and to take my time and  worn more comfortable shoes for all the walking  dress nice to get some nice pictures of myself amongst the beautiful displays,Positive
gardens-by-the-bay,wow this is a beautiful and must visit spot the free parts are mesmerizing with the light towers ceramic animal statues and beautiful flowers you have to pay about  to visit the  dome i definitely recommend it the cloud forest dome was amazing and worth every penny the orchids are ornate and again beautiful the cloud forest is fascinating and the scenes witnessed while walking are captivating the other dome is a desert garden i did not have a lot of time to visit the dome but i also heard that the cloud forest dome was the better of the  to visit if needing to see only one,Positive
gardens-by-the-bay,this place is amazing we walked across the bridge from marina bay sands and started with the supertree grove this gets you to the height of the supertrees and a great view of the city it is worth coming back twice to see the supertress during the day and then back at night for the light show the other  attractions are the flower dome and cloud forest both were spectacular there were a variety of plants and even some cherry blossoms we went at the end of march it is also nice and cool and a great change from the  degree weather outside the indoor waterfall was amazing as well def a must see in singapore it was a highlight of our trip,Positive
gardens-by-the-bay,plan to spend a few hours here at gardens of the bay it took us about four hours to do the entire thing and we were moving fast i enjoyed the night show with lights we just laid on the ground with the hundreds of other people the gardens are superb,Positive
gardens-by-the-bay,the funny thing about these types of places is even when they are not just awful tourist traps they still never seem to live up to the expectations my last job in the usa was working for the parks dept for three years so i know a little about parks but gardens by the bay is no park that place is a revelation there was not a single thing about it that i found overrated or anything even close to that the attention to detail here is otherworldly which is pretty much par for the course when you are talking about places in singapore but still very much welcomed we even had second thoughts about going on the canopy because it costs money but even that was worth the trip plus you can stay up there as long as you want really what we did not get a chance to do was go to the bar that is up in one of the huge trees but that is ok we were looking for a reason to go back to singapore anyway the park is also huge so while most of the photos are the giant trees and such there is a lot of park to traverse so it is not like you are stuck in just one place this may be one of my new favorite parks on earth if not my new,Negative
gardens-by-the-bay,took a night tour that brought us to the avatar trees light and music show it was retro night and the music was excellent my son and i loved the tunes including is aturday night fever and abba songs it was not as crowded due to the rain so we had prime viewing do be ready for people unaware and who wander into your video taping area we did not have time to explore the walkways linking the trees but it looked fun the garden rhapsody light and sound show is a definite must visit and if you have time the flower dome and cloud forest look like good places to visit as well the trees mimic live trees in that they have technology which allows them to convert sunlight into energy and collect rainwater there is also a restaurant at the top of the tallest tree but we never made it there overall a great place to visit,Positive
